text,label,author_name,colluqial_transformed_text,cleaned_text,translated_text,corrected_text,tokenized_text,filtered_tokens,filtered_text,stemmed_text
"pengen nangis liat nya kmaren2 saya ikut berdiri di barisan sana dan sekarang adik2 saya yang meneruskannya, semangat terus adik2 masa depan negara ini ada di tangan kalian sekarang 🔥",0,@nandarkarsa6570,"pengin menangis lihat nya kmaren2 saya ikut berdiri di barisan sana dan sekarang adik2 saya yang meneruskannya, semangat terus adik2 masa depan negara ini ada di tangan kalian sekarang 🔥",pengin menangis lihat nya kmaren saya ikut berdiri di barisan sana dan sekarang adik saya yang meneruskannya semangat terus adik masa depan negara ini ada di tangan kalian sekarang,ingin menangis melihatnya kemarin saya ikut berdiri di barisan sana dan sekarang adik saya yang meneruskannya semangat terus adik masa depan negara ini ada di tangan kalian sekarang,ingin menangis melihatnya kemarin saya ikut berdiri di barisan sana dan sekarang adik saya yang meneruskannya semangat terus adik masa depan negara ini ada di tangan kalian sekarang,"['ingin', 'menangis', 'melihatnya', 'kemarin', 'saya', 'ikut', 'berdiri', 'di', 'barisan', 'sana', 'dan', 'sekarang', 'adik', 'saya', 'yang', 'meneruskannya', 'semangat', 'terus', 'adik', 'masa', 'depan', 'negara', 'ini', 'ada', 'di', 'tangan', 'kalian', 'sekarang']","['menangis', 'melihatnya', 'kemarin', 'ikut', 'berdiri', 'barisan', 'sana', 'sekarang', 'adik', 'meneruskannya', 'semangat', 'terus', 'adik', 'masa', 'depan', 'negara', 'tangan', 'kalian', 'sekarang']",menangis melihatnya kemarin ikut berdiri barisan sana sekarang adik meneruskannya semangat terus adik masa depan negara tangan kalian sekarang,menang lihat kemarin ikut diri baris sana sekarang adik terus semangat terus adik masa depan negara tangan kalian sekarang
"bubarkan dpr, makzulkan si gibran dan adili sdr jokowi negeri iniakanjaya kembali",0,@muhamadtoha5684,"bubarkan dpr, makzulkan sih gibran dan adili sdr jokowi negeri iniakanjaya kembali",bubarkan dpr makzulkan sih gibran dan adili sdr jokowi negeri iniakanjaya kembali,"Bubarkan DPR, makzulkan Gibran, dan adili saudara Jokowi, negeri ini akan jaya kembali.","Bubarkan DPR, makzulkan Gibran, dan adili saudara Jokowi, negeri ini akan jaya kembali.","['Bubarkan', 'DPR', ',', 'makzulkan', 'Gibran', ',', 'dan', 'adili', 'saudara', 'Jokowi', ',', 'negeri', 'ini', 'akan', 'jaya', 'kembali', '.']","['Bubarkan', 'DPR', ',', 'makzulkan', 'Gibran', ',', 'adili', 'saudara', 'Jokowi', ',', 'negeri', 'jaya', '.']","Bubarkan DPR , makzulkan Gibran , adili saudara Jokowi , negeri jaya .",bubar dpr makzul gibran adil saudara jokowi negeri jaya
mun boga rudal gedung dpr ku aing rudal kagok 😂,1,@erilwanmushari1696,mun boga rudal gedung dpr ku aing rudal kagok 😂,mun boga rudal gedung dpr ku aing rudal kagok,mun boga rudal gedung dpr ku aing rudal kagok,mun boga rudal gedung dpr ku aing rudal kagok,"['mun', 'boga', 'rudal', 'gedung', 'dpr', 'ku', 'aing', 'rudal', 'kagok']","['mun', 'boga', 'rudal', 'gedung', 'dpr', 'ku', 'aing', 'rudal', 'kagok']",mun boga rudal gedung dpr ku aing rudal kagok,mun boga rudal gedung dpr ku aing rudal kagok
"dpr jika di bubarkan, aman uang negara bisa di manfaatkan untuk kemajuan & kemakmuran bangsa",1,@elisanovemberia.n8934,"dpr jika di bubarkan, aman uang negara bisa di manfaatkan untuk kemajuan & kemakmuran bangsa",dpr jika di bubarkan aman uang negara bisa di manfaatkan untuk kemajuan kemakmuran bangsa,"DPR jika dibubarkan, aman, uang negara bisa dimanfaatkan untuk kemajuan dan kemakmuran bangsa.","DPR jika dibubarkan, aman, uang negara bisa dimanfaatkan untuk kemajuan dan kemakmuran bangsa.","['DPR', 'jika', 'dibubarkan', ',', 'aman', ',', 'uang', 'negara', 'bisa', 'dimanfaatkan', 'untuk', 'kemajuan', 'dan', 'kemakmuran', 'bangsa', '.']","['DPR', 'dibubarkan', ',', 'aman', ',', 'uang', 'negara', 'dimanfaatkan', 'kemajuan', 'kemakmuran', 'bangsa', '.']","DPR dibubarkan , aman , uang negara dimanfaatkan kemajuan kemakmuran bangsa .",dpr bubar aman uang negara manfaat maju makmur bangsa
hanya bisa berdoa buat semua saudara saudaraku ❤,1,@Iwansyah-v3k,hanya bisa berdoa buat semua saudara saudaraku ❤,hanya bisa berdoa buat semua saudara saudaraku,hanya bisa berdoa untuk semua saudara-saudaraku,hanya bisa berdoa untuk semua saudara-saudaraku,"['hanya', 'bisa', 'berdoa', 'untuk', 'semua', 'saudara-saudaraku']","['berdoa', 'semua', 'saudara-saudaraku']",berdoa semua saudara-saudaraku,doa semua saudara
"menghadapi rakyat sendiri 
di persenjatai lengkap menggunakan laras panjang,
opm dari jaman dllu ga kelar"" 
penuh dngn drapa pemerintahan, beralasan ham",0,@MuhammadZhabranshakell,"menghadapi rakyat sendiri di persenjatai lengkap menggunakan laras panjang, opm dari jaman dllu enggak kelar"" penuh dngn drapa pemerintahan, beralasan ham",menghadapi rakyat sendiri di persenjatai lengkap menggunakan laras panjang opm dari jaman dllu enggak kelar penuh dngn drapa pemerintahan beralasan ham,menghadapi rakyat sendiri yang dipersenjatai lengkap dengan senapan panjang OPM dari zaman dulu tidak selesai penuh dengan drapa pemerintahan beralasan HAM,menghadapi rakyat sendiri yang dipersenjatai lengkap dengan senapan panjang OPM dari zaman dulu tidak selesai penuh dengan drapa pemerintahan beralasan HAM,"['menghadapi', 'rakyat', 'sendiri', 'yang', 'dipersenjatai', 'lengkap', 'dengan', 'senapan', 'panjang', 'OPM', 'dari', 'zaman', 'dulu', 'tidak', 'selesai', 'penuh', 'dengan', 'drapa', 'pemerintahan', 'beralasan', 'HAM']","['menghadapi', 'rakyat', 'sendiri', 'dipersenjatai', 'lengkap', 'senapan', 'panjang', 'OPM', 'zaman', 'dulu', 'selesai', 'penuh', 'drapa', 'pemerintahan', 'beralasan', 'HAM']",menghadapi rakyat sendiri dipersenjatai lengkap senapan panjang OPM zaman dulu selesai penuh drapa pemerintahan beralasan HAM,hadap rakyat sendiri senjata lengkap senapan panjang opm zaman dulu selesai penuh drapa perintah alas ham
ga rusuh ga bakal di gubris.,0,@monyetbinal5524,enggak rusuh enggak bakal di gubris.,enggak rusuh enggak bakal di gubris,enggak rusuh enggak akan diperhatikan,enggak rusuh enggak akan diperhatikan,"['enggak', 'rusuh', 'enggak', 'akan', 'diperhatikan']","['enggak', 'rusuh', 'enggak', 'diperhatikan']",enggak rusuh enggak diperhatikan,enggak rusuh enggak perhati
"inilah rakyat yang sebenarnya, kalo sudah marah ya kita tidak butuh lagi wakil rakyat",0,@tianszechreich8062,"inilah rakyat yang sebenarnya, kalo sudah marah ya kita tidak butuh lagi wakil rakyat",inilah rakyat yang sebenarnya kalo sudah marah ya kita tidak butuh lagi wakil rakyat,"Inilah rakyat yang sebenarnya, kalau sudah marah ya kita tidak butuh lagi wakil rakyat.","Inilah rakyat yang sebenarnya, kalau sudah marah ya kita tidak butuh lagi wakil rakyat.","['Inilah', 'rakyat', 'yang', 'sebenarnya', ',', 'kalau', 'sudah', 'marah', 'ya', 'kita', 'tidak', 'butuh', 'lagi', 'wakil', 'rakyat', '.']","['Inilah', 'rakyat', 'sebenarnya', ',', 'kalau', 'marah', 'butuh', 'wakil', 'rakyat', '.']","Inilah rakyat sebenarnya , kalau marah butuh wakil rakyat .",ini rakyat benar kalau marah butuh wakil rakyat
trimaksih yg mewakili kami ..kami dukung ..semangat  rakyat mendukung  untuk demo,0,@perapinem3337,trimaksih yang mewakili kami ..kami dukung ..semangat rakyat mendukung untuk demo,trimaksih yang mewakili kami kami dukung semangat rakyat mendukung untuk demo,"Trimaksih yang mewakili kami, kami dukung semangat rakyat untuk mendukung demo.","Trimaksih yang mewakili kami, kami dukung semangat rakyat untuk mendukung demo.","['Trimaksih', 'yang', 'mewakili', 'kami', ',', 'kami', 'dukung', 'semangat', 'rakyat', 'untuk', 'mendukung', 'demo', '.']","['Trimaksih', 'mewakili', ',', 'dukung', 'semangat', 'rakyat', 'mendukung', 'demo', '.']","Trimaksih mewakili , dukung semangat rakyat mendukung demo .",trimaksih wakil dukung semangat rakyat dukung demo
sekalian makzulkan wapres planga plongo,0,@SiswoOetomo-k5w,sekalian makzulkan wapres planga plongo,sekalian makzulkan wapres planga plongo,sekalian makzulkan wapres planga plongo,sekalian makzulkan wapres planga plongo,"['sekalian', 'makzulkan', 'wapres', 'planga', 'plongo']","['sekalian', 'makzulkan', 'wapres', 'planga', 'plongo']",sekalian makzulkan wapres planga plongo,sekali makzul wapres planga plongo
yg penting uu perampasan aset koroptor dan hukuman mati serta di usut harta dan aset2 yg dari koroptor.,1,@maksiti8895,yang penting uu perampasan aset koroptor dan hukuman mati serta di usut harta dan aset2 yang dari koroptor.,yang penting uu perampasan aset koroptor dan hukuman mati serta di usut harta dan aset yang dari koroptor,yang penting adalah undang-undang perampasan aset koruptor dan hukuman mati serta menyelidiki harta dan aset yang berasal dari koruptor,yang penting adalah undang-undang perampasan aset koruptor dan hukuman mati serta menyelidiki harta dan aset yang berasal dari koruptor,"['yang', 'penting', 'adalah', 'undang-undang', 'perampasan', 'aset', 'koruptor', 'dan', 'hukuman', 'mati', 'serta', 'menyelidiki', 'harta', 'dan', 'aset', 'yang', 'berasal', 'dari', 'koruptor']","['penting', 'undang-undang', 'perampasan', 'aset', 'koruptor', 'hukuman', 'mati', 'menyelidiki', 'harta', 'aset', 'berasal', 'koruptor']",penting undang-undang perampasan aset koruptor hukuman mati menyelidiki harta aset berasal koruptor,penting undang ampas aset koruptor hukum mati selidik harta aset asal koruptor
ternyata polisi & dpr sama bangsatnya.,0,@TauFik-x6c,ternyata polisi & dpr sama bangsatnya.,ternyata polisi dpr sama bangsatnya,ternyata polisi dpr sama bangsatnya,ternyata polisi dpr sama bangsatnya,"['ternyata', 'polisi', 'dpr', 'sama', 'bangsatnya']","['ternyata', 'polisi', 'dpr', 'sama', 'bangsatnya']",ternyata polisi dpr sama bangsatnya,nyata polisi dpr sama bangsat
ya allah ya rasulullah masuk bulan maulid lihatlah negaraku indonesia lihatlah kelakuan para pejabat yang telah zolim kepada kami rakyat miskin tolonglah kami ya allah,1,@InaKhasanatin,ya allah ya rasulullah masuk bulan maulid lihatlah negaraku indonesia lihatlah kelakuan para pejabat yang telah zolim kepada kami rakyat miskin tolonglah kami ya allah,ya allah ya rasulullah masuk bulan maulid lihatlah negaraku indonesia lihatlah kelakuan para pejabat yang telah zolim kepada kami rakyat miskin tolonglah kami ya allah,"ya Allah ya Rasulullah, masuk bulan Maulid, lihatlah negaraku Indonesia, lihatlah kelakuan para pejabat yang telah zolim kepada kami, rakyat miskin. Tolonglah kami ya Allah.","ya Allah ya Rasulullah, masuk bulan Maulid, lihatlah negaraku Indonesia, lihatlah kelakuan para pejabat yang telah zolim kepada kami, rakyat miskin. Tolonglah kami ya Allah.","['ya', 'Allah', 'ya', 'Rasulullah', ',', 'masuk', 'bulan', 'Maulid', ',', 'lihatlah', 'negaraku', 'Indonesia', ',', 'lihatlah', 'kelakuan', 'para', 'pejabat', 'yang', 'telah', 'zolim', 'kepada', 'kami', ',', 'rakyat', 'miskin', '.', 'Tolonglah', 'kami', 'ya', 'Allah', '.']","['Allah', 'Rasulullah', ',', 'masuk', 'bulan', 'Maulid', ',', 'lihatlah', 'negaraku', 'Indonesia', ',', 'lihatlah', 'kelakuan', 'pejabat', 'zolim', ',', 'rakyat', 'miskin', '.', 'Tolonglah', 'Allah', '.']","Allah Rasulullah , masuk bulan Maulid , lihatlah negaraku Indonesia , lihatlah kelakuan pejabat zolim , rakyat miskin . Tolonglah Allah .",allah rasulullah masuk bulan maulid lihat negara indonesia lihat laku jabat zolim rakyat miskin tolong allah
"setuju sekali tuntut pemangkasan penghasilan anggota dpr mau namanya tunjangan,sepakan tamparan terserah..dn satu lagi tuntut disahkan hukuman mati itk koruptor atau uu pemiskinan utk koruptor (sita semua harta mau harta hasil korupsi maupun harta hasil kerja maupun warisan)",0,@Whatsup001,"setuju sekali tuntut pemangkasan penghasilan anggota dpr mau namanya tunjangan,sepakan tamparan terserah..dn satu lagi tuntut disahkan hukuman mati itk koruptor atau uu pemiskinan untuk koruptor (sita semua harta mau harta hasil korupsi maupun harta hasil kerja maupun warisan)",setuju sekali tuntut pemangkasan penghasilan anggota dpr mau namanya tunjangan sepakan tamparan terserah dn satu lagi tuntut disahkan hukuman mati itk koruptor atau uu pemiskinan untuk koruptor sita semua harta mau harta hasil korupsi maupun harta hasil kerja maupun warisan,"Setuju sekali. Saya tuntut pemangkasan penghasilan anggota DPR yang namanya tunjangan. Itu adalah tamparan terserah. Dan satu lagi, tuntut disahkan hukuman mati untuk koruptor atau undang-undang pemiskinan untuk koruptor dan sita semua harta, baik harta hasil korupsi maupun harta hasil kerja dan warisan.","Setuju sekali. Saya tuntut pemangkasan penghasilan anggota DPR yang namanya tunjangan. Itu adalah tamparan terserah. Dan satu lagi, tuntut disahkan hukuman mati untuk koruptor atau undang-undang pemiskinan untuk koruptor dan sita semua harta, baik harta hasil korupsi maupun harta hasil kerja dan warisan.","['Setuju', 'sekali', '.', 'Saya', 'tuntut', 'pemangkasan', 'penghasilan', 'anggota', 'DPR', 'yang', 'namanya', 'tunjangan', '.', 'Itu', 'adalah', 'tamparan', 'terserah', '.', 'Dan', 'satu', 'lagi', ',', 'tuntut', 'disahkan', 'hukuman', 'mati', 'untuk', 'koruptor', 'atau', 'undang-undang', 'pemiskinan', 'untuk', 'koruptor', 'dan', 'sita', 'semua', 'harta', ',', 'baik', 'harta', 'hasil', 'korupsi', 'maupun', 'harta', 'hasil', 'kerja', 'dan', 'warisan', '.']","['Setuju', 'sekali', '.', 'tuntut', 'pemangkasan', 'penghasilan', 'anggota', 'DPR', 'namanya', 'tunjangan', '.', 'tamparan', 'terserah', '.', 'satu', ',', 'tuntut', 'disahkan', 'hukuman', 'mati', 'koruptor', 'undang-undang', 'pemiskinan', 'koruptor', 'sita', 'semua', 'harta', ',', 'baik', 'harta', 'hasil', 'korupsi', 'maupun', 'harta', 'hasil', 'kerja', 'warisan', '.']","Setuju sekali . tuntut pemangkasan penghasilan anggota DPR namanya tunjangan . tamparan terserah . satu , tuntut disahkan hukuman mati koruptor undang-undang pemiskinan koruptor sita semua harta , baik harta hasil korupsi maupun harta hasil kerja warisan .",tuju sekali tuntut mangkas hasil anggota dpr nama tunjang tampar serah satu tuntut sah hukum mati koruptor undang miskin koruptor sita semua harta baik harta hasil korupsi maupun harta hasil kerja waris
jangan  dpr  yg  dilengserkan bro😮😮 sebenarnya  hrs  presiden nya,0,@KanjengSemoyo-i1w,jangan dpr yang dilengserkan bro😮😮 sebenarnya harus presiden nya,jangan dpr yang dilengserkan bro sebenarnya harus presiden nya,jangan DPR yang dilengserkan bro sebenarnya harus presidennya,jangan DPR yang dilengserkan bro sebenarnya harus presidennya,"['jangan', 'DPR', 'yang', 'dilengserkan', 'bro', 'sebenarnya', 'harus', 'presidennya']","['jangan', 'DPR', 'dilengserkan', 'bro', 'sebenarnya', 'presidennya']",jangan DPR dilengserkan bro sebenarnya presidennya,jangan dpr lengser bro benar presiden
protes rakyat menggugat  berteduh di bawah.tiang bendera.revolusi yg banyak terpasang dan berkibar disana .untuk menegak kan ke adilan..,0,@sudrajatu9840,protes rakyat menggugat berteduh di bawah.tiang bendera.revolusi yang banyak terpasang dan berkibar disana .untuk menegak kan ke adilan..,protes rakyat menggugat berteduh di bawah tiang bendera revolusi yang banyak terpasang dan berkibar disana untuk menegak kan ke adilan,Protes rakyat menggugat berteduh di bawah tiang bendera revolusi yang banyak terpasang dan berkibar di sana untuk menegakkan keadilan.,Protes rakyat menggugat berteduh di bawah tiang bendera revolusi yang banyak terpasang dan berkibar di sana untuk menegakkan keadilan.,"['Protes', 'rakyat', 'menggugat', 'berteduh', 'di', 'bawah', 'tiang', 'bendera', 'revolusi', 'yang', 'banyak', 'terpasang', 'dan', 'berkibar', 'di', 'sana', 'untuk', 'menegakkan', 'keadilan', '.']","['Protes', 'rakyat', 'menggugat', 'berteduh', 'bawah', 'tiang', 'bendera', 'revolusi', 'banyak', 'terpasang', 'berkibar', 'sana', 'menegakkan', 'keadilan', '.']",Protes rakyat menggugat berteduh bawah tiang bendera revolusi banyak terpasang berkibar sana menegakkan keadilan .,protes rakyat gugat teduh bawah tiang bendera revolusi banyak pasang kibar sana tegak adil
"saya guru honorer ampir 20 tahun dan diangkat asn baru 1 tahun lebih digajih cuma 3 jt lebih 2 tahun lagi pensiun dan ga dapat uang pensiun jadi mulai dari presiden, menteri dan dpr sungguh tidak punya hati semua cuma omon2 saja gerbang neraka terbuka untuk kalian.",0,@wejanggapurwanto-d2y,"saya guru honorer ampir 20 tahun dan diangkat asn baru 1 tahun lebih digajih cuma 3 juta lebih 2 tahun lagi pensiun dan enggak dapat uang pensiun jadi mulai dari presiden, menteri dan dpr sungguh tidak punya hati semua cuma omon2 saja gerbang neraka terbuka untuk kalian.",saya guru honorer ampir tahun dan diangkat asn baru tahun lebih digajih cuma juta lebih tahun lagi pensiun dan enggak dapat uang pensiun jadi mulai dari presiden menteri dan dpr sungguh tidak punya hati semua cuma omon saja gerbang neraka terbuka untuk kalian,"Saya guru honorer hampir tahun dan diangkat ASN baru tahun lebih digaji cuma juta lebih tahun lagi pensiun dan tidak dapat uang pensiun, jadi mulai dari presiden, menteri, dan DPR sungguh tidak punya hati, semua cuma omong saja. Gerbang neraka terbuka untuk kalian.","Saya guru honorer hampir tahun dan diangkat ASN baru tahun lebih digaji cuma juta lebih tahun lagi pensiun dan tidak dapat uang pensiun, jadi mulai dari presiden, menteri, dan DPR sungguh tidak punya hati, semua cuma omong saja. Gerbang neraka terbuka untuk kalian.","['Saya', 'guru', 'honorer', 'hampir', 'tahun', 'dan', 'diangkat', 'ASN', 'baru', 'tahun', 'lebih', 'digaji', 'cuma', 'juta', 'lebih', 'tahun', 'lagi', 'pensiun', 'dan', 'tidak', 'dapat', 'uang', 'pensiun', ',', 'jadi', 'mulai', 'dari', 'presiden', ',', 'menteri', ',', 'dan', 'DPR', 'sungguh', 'tidak', 'punya', 'hati', ',', 'semua', 'cuma', 'omong', 'saja', '.', 'Gerbang', 'neraka', 'terbuka', 'untuk', 'kalian', '.']","['guru', 'honorer', 'hampir', 'tahun', 'diangkat', 'ASN', 'baru', 'tahun', 'lebih', 'digaji', 'cuma', 'juta', 'lebih', 'tahun', 'pensiun', 'uang', 'pensiun', ',', 'jadi', 'mulai', 'presiden', ',', 'menteri', ',', 'DPR', 'sungguh', 'punya', 'hati', ',', 'semua', 'cuma', 'omong', '.', 'Gerbang', 'neraka', 'terbuka', 'kalian', '.']","guru honorer hampir tahun diangkat ASN baru tahun lebih digaji cuma juta lebih tahun pensiun uang pensiun , jadi mulai presiden , menteri , DPR sungguh punya hati , semua cuma omong . Gerbang neraka terbuka kalian .",guru honorer hampir tahun angkat asn baru tahun lebih gaji cuma juta lebih tahun pensiun uang pensiun jadi mulai presiden menteri dpr sungguh punya hati semua cuma omong gerbang neraka buka kalian
mustahil bubarin dpr ri,0,@AchmadalQuthfby-kk5cc,mustahil bubarin dpr ri,mustahil bubarin dpr ri,mustahil membubarkan dpr ri,mustahil membubarkan dpr ri,"['mustahil', 'membubarkan', 'dpr', 'ri']","['mustahil', 'membubarkan', 'dpr', 'ri']",mustahil membubarkan dpr ri,mustahil bubar dpr ri
lanjutkan..pecat anggota dpr artis pengangguran yg cari kerja di dpr,0,@azurayoutubechannel5206,lanjutkan..pecat anggota dpr artis pengangguran yang cari kerja di dpr,lanjutkan pecat anggota dpr artis pengangguran yang cari kerja di dpr,lanjutkan pemecatan anggota DPR yang merupakan artis pengangguran yang mencari pekerjaan di DPR,lanjutkan pemecatan anggota DPR yang merupakan artis pengangguran yang mencari pekerjaan di DPR,"['lanjutkan', 'pemecatan', 'anggota', 'DPR', 'yang', 'merupakan', 'artis', 'pengangguran', 'yang', 'mencari', 'pekerjaan', 'di', 'DPR']","['lanjutkan', 'pemecatan', 'anggota', 'DPR', 'merupakan', 'artis', 'pengangguran', 'mencari', 'pekerjaan', 'DPR']",lanjutkan pemecatan anggota DPR merupakan artis pengangguran mencari pekerjaan DPR,lanjut pecat anggota dpr rupa artis anggur cari kerja dpr
"warga minta bubarkan dpr itu salah.akan lebih bahaya negara tanpa dpr
aku pun kelakuan dpr mengambil keputusan bnyak yang kurang setuju misal kenaikan gaji atau tunjangan
jika dpr sampe bubar rakyat bakal lebih susah hidup",1,@RioAlif-z8v,warga meminta bubarkan dpr itu salah.akan lebih bahaya negara tanpa dpr aku pun kelakuan dpr mengambil keputusan banyak yang kurang setuju misal kenaikan gaji atau tunjangan jika dpr sampai bubar rakyat bakal lebih susah hidup,warga meminta bubarkan dpr itu salah akan lebih bahaya negara tanpa dpr aku pun kelakuan dpr mengambil keputusan banyak yang kurang setuju misal kenaikan gaji atau tunjangan jika dpr sampai bubar rakyat bakal lebih susah hidup,"warga meminta bubarkan dpr itu salah, akan lebih bahaya negara tanpa dpr. Aku pun melihat kelakuan dpr yang mengambil keputusan, banyak yang kurang setuju, misalnya kenaikan gaji atau tunjangan. Jika dpr sampai bubar, rakyat bakal lebih susah hidup.","warga meminta bubarkan dpr itu salah, akan lebih bahaya negara tanpa dpr. Aku pun melihat kelakuan dpr yang mengambil keputusan, banyak yang kurang setuju, misalnya kenaikan gaji atau tunjangan. Jika dpr sampai bubar, rakyat bakal lebih susah hidup.","['warga', 'meminta', 'bubarkan', 'dpr', 'itu', 'salah', ',', 'akan', 'lebih', 'bahaya', 'negara', 'tanpa', 'dpr', '.', 'Aku', 'pun', 'melihat', 'kelakuan', 'dpr', 'yang', 'mengambil', 'keputusan', ',', 'banyak', 'yang', 'kurang', 'setuju', ',', 'misalnya', 'kenaikan', 'gaji', 'atau', 'tunjangan', '.', 'Jika', 'dpr', 'sampai', 'bubar', ',', 'rakyat', 'bakal', 'lebih', 'susah', 'hidup', '.']","['warga', 'meminta', 'bubarkan', 'dpr', 'salah', ',', 'lebih', 'bahaya', 'negara', 'dpr', '.', 'Aku', 'melihat', 'kelakuan', 'dpr', 'mengambil', 'keputusan', ',', 'banyak', 'kurang', 'setuju', ',', 'misalnya', 'kenaikan', 'gaji', 'tunjangan', '.', 'dpr', 'bubar', ',', 'rakyat', 'bakal', 'lebih', 'susah', 'hidup', '.']","warga meminta bubarkan dpr salah , lebih bahaya negara dpr . Aku melihat kelakuan dpr mengambil keputusan , banyak kurang setuju , misalnya kenaikan gaji tunjangan . dpr bubar , rakyat bakal lebih susah hidup .",warga minta bubar dpr salah lebih bahaya negara dpr aku lihat laku dpr ambil putus banyak kurang tuju misal naik gaji tunjang dpr bubar rakyat bakal lebih susah hidup
negara kita pasti maju,0,@DrsRiduan-tp3jn,negara kita pasti maju,negara kita pasti maju,negara kita pasti maju,negara kita pasti maju,"['negara', 'kita', 'pasti', 'maju']","['negara', 'maju']",negara maju,negara maju
dpr bubarkan dan buat dprs lalu buatlah uu hukum mati koruptor dan penyitaan aset koruptor seperti china,0,@DrsRiduan-tp3jn,dpr bubarkan dan buat dprs lalu buatlah uu hukum mati koruptor dan penyitaan aset koruptor seperti china,dpr bubarkan dan buat dprs lalu buatlah uu hukum mati koruptor dan penyitaan aset koruptor seperti china,"dpr dibubarkan dan dibuat dprs, lalu dibuatlah uu hukum mati bagi koruptor dan penyitaan aset koruptor seperti di China","dpr dibubarkan dan dibuat dprs, lalu dibuatlah uu hukum mati bagi koruptor dan penyitaan aset koruptor seperti di China","['dpr', 'dibubarkan', 'dan', 'dibuat', 'dprs', ',', 'lalu', 'dibuatlah', 'uu', 'hukum', 'mati', 'bagi', 'koruptor', 'dan', 'penyitaan', 'aset', 'koruptor', 'seperti', 'di', 'China']","['dpr', 'dibubarkan', 'dibuat', 'dprs', ',', 'lalu', 'dibuatlah', 'uu', 'hukum', 'mati', 'koruptor', 'penyitaan', 'aset', 'koruptor', 'China']","dpr dibubarkan dibuat dprs , lalu dibuatlah uu hukum mati koruptor penyitaan aset koruptor China",dpr bubar buat dprs lalu buat uu hukum mati koruptor sita aset koruptor china
"selama indonesia masih ada nenek lampir perpolitikan indonesia tidak akan pernah kondusif yg artinya pembangunan bangsa indonesia akan selalu terhambat. 
seharusnya bangsa indonesia sudah lama tinggal landas. 
sekarang mereka bisa menjadi penghambat cita cita bangsa indonesia 2045 indonesia emas.",1,@EdyJambi-p5p,selama indonesia masih ada nenek lampir perpolitikan indonesia tidak akan pernah kondusif yang artinya pembangunan bangsa indonesia akan selalu terhambat. seharusnya bangsa indonesia sudah lama tinggal landas. sekarang mereka bisa menjadi penghambat cita cita bangsa indonesia 2045 indonesia emas.,selama indonesia masih ada nenek lampir perpolitikan indonesia tidak akan pernah kondusif yang artinya pembangunan bangsa indonesia akan selalu terhambat seharusnya bangsa indonesia sudah lama tinggal landas sekarang mereka bisa menjadi penghambat cita cita bangsa indonesia indonesia emas,"Selama Indonesia masih ada Nenek Lampir, perpolitikan Indonesia tidak akan pernah kondusif, yang artinya pembangunan bangsa Indonesia akan selalu terhambat. Seharusnya, bangsa Indonesia sudah lama tinggal landas, sekarang mereka bisa menjadi penghambat cita-cita bangsa Indonesia. Indonesia Emas.","Selama Indonesia masih ada Nenek Lampir, perpolitikan Indonesia tidak akan pernah kondusif, yang artinya pembangunan bangsa Indonesia akan selalu terhambat. Seharusnya, bangsa Indonesia sudah lama tinggal landas, sekarang mereka bisa menjadi penghambat cita-cita bangsa Indonesia. Indonesia Emas.","['Selama', 'Indonesia', 'masih', 'ada', 'Nenek', 'Lampir', ',', 'perpolitikan', 'Indonesia', 'tidak', 'akan', 'pernah', 'kondusif', ',', 'yang', 'artinya', 'pembangunan', 'bangsa', 'Indonesia', 'akan', 'selalu', 'terhambat', '.', 'Seharusnya', ',', 'bangsa', 'Indonesia', 'sudah', 'lama', 'tinggal', 'landas', ',', 'sekarang', 'mereka', 'bisa', 'menjadi', 'penghambat', 'cita-cita', 'bangsa', 'Indonesia', '.', 'Indonesia', 'Emas', '.']","['Selama', 'Indonesia', 'Nenek', 'Lampir', ',', 'perpolitikan', 'Indonesia', 'pernah', 'kondusif', ',', 'artinya', 'pembangunan', 'bangsa', 'Indonesia', 'selalu', 'terhambat', '.', ',', 'bangsa', 'Indonesia', 'lama', 'tinggal', 'landas', ',', 'sekarang', 'menjadi', 'penghambat', 'cita-cita', 'bangsa', 'Indonesia', '.', 'Indonesia', 'Emas', '.']","Selama Indonesia Nenek Lampir , perpolitikan Indonesia pernah kondusif , artinya pembangunan bangsa Indonesia selalu terhambat . , bangsa Indonesia lama tinggal landas , sekarang menjadi penghambat cita-cita bangsa Indonesia . Indonesia Emas .",lama indonesia nenek lampir politik indonesia pernah kondusif arti bangun bangsa indonesia selalu hambat bangsa indonesia lama tinggal landas sekarang jadi hambat cita bangsa indonesia indonesia emas
"bubarkan dpr karena tidak ada gunanya, bikin habis uang negara 😡😡😡😡😡",1,@RobyArifuddin-ls7no,"bubarkan dpr karena tidak ada gunanya, bikin habis uang negara 😡😡😡😡😡",bubarkan dpr karena tidak ada gunanya bikin habis uang negara,bubarkan dpr karena tidak ada gunanya menghabiskan uang negara,bubarkan dpr karena tidak ada gunanya menghabiskan uang negara,"['bubarkan', 'dpr', 'karena', 'tidak', 'ada', 'gunanya', 'menghabiskan', 'uang', 'negara']","['bubarkan', 'dpr', 'gunanya', 'menghabiskan', 'uang', 'negara']",bubarkan dpr gunanya menghabiskan uang negara,bubar dpr guna habis uang negara
